id,director_name,duration,actor_1_name,actor_2_name,gross,movie_title,num_voted_users,actor_3_name,movie_imdb_link,imdb_id,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,poster,Action,Adventure,Fantasy
39,Sam Raimi,130,Tim Holmes,Mila Kunis,234903076,Oz the Great and Powerful,175409,James Franco,http://www.imdb.com/title/tt1623205/,tt1623205,511,English,USA,PG,215000000,2013,6.4,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyMzQ1ODM1MF5BMl5BanBnXkFtZTcwMjE2MTQxOQ@@._V1_SX300.jpg,0,0,1
40,Marc Webb,142,Emma Stone,Andrew Garfield,202853933,The Amazing Spider-Man 2,321227,B.J. Novak,http://www.imdb.com/title/tt1872181/,tt1872181,1067,English,USA,PG-13,200000000,2014,6.7,https://images-na.ssl-images-amazon.com/images/M/MV5BOTA5NDYxNTg0OV5BMl5BanBnXkFtZTgwODE5NzU1MTE@._V1_SX300.jpg,0,0,1
41,Joseph Kosinski,125,Jeff Bridges,Olivia Wilde,172051787,TRON: Legacy,264183,James Frain,http://www.imdb.com/title/tt1104001/,tt1104001,665,English,USA,PG,170000000,2010,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NTk4MTk1OF5BMl5BanBnXkFtZTcwNTE2MDIwNA@@._V1_SX300.jpg,0,0,1
42,John Lasseter,106,Joe Mantegna,Thomas Kretschmann,191450875,Cars 2,101178,Eddie Izzard,http://www.imdb.com/title/tt1216475/,tt1216475,283,English,USA,G,200000000,2011,6.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_SX300.jpg,0,0,1
43,Martin Campbell,123,Ryan Reynolds,Temuera Morrison,116593191,Green Lantern,223393,Taika Waititi,http://www.imdb.com/title/tt1133985/,tt1133985,550,English,USA,PG-13,200000000,2011,5.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyMTg3OTM5Ml5BMl5BanBnXkFtZTcwNzczMjEyNQ@@._V1_SX300.jpg,0,0,1
44,Lee Unkrich,103,Tom Hanks,John Ratzenberger,414984497,Toy Story 3,544884,Don Rickles,http://www.imdb.com/title/tt0435761/,tt0435761,733,English,USA,G,200000000,2010,8.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,0,0,1
45,McG,118,Christian Bale,Bryce Dallas Howard,125320003,Terminator Salvation,286095,Common,http://www.imdb.com/title/tt0438488/,tt0438488,974,English,USA,PG-13,200000000,2009,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BODE1MTM1MzA2NF5BMl5BanBnXkFtZTcwODQ5MTA2Mg@@._V1_SX300.jpg,0,0,1
46,James Wan,140,Jason Statham,Paul Walker,350034110,Furious 7,278232,Vin Diesel,http://www.imdb.com/title/tt2820852/,tt2820852,657,English,USA,PG-13,190000000,2015,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1_SX300.jpg,0,0,1
47,Marc Forster,123,Peter Capaldi,Brad Pitt,202351611,World War Z,465019,Mireille Enos,http://www.imdb.com/title/tt0816711/,tt0816711,995,English,USA,PG-13,190000000,2013,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NTgxMjIxOF5BMl5BanBnXkFtZTcwMDM0MDY1OQ@@._V1_SX300.jpg,0,0,1
48,Bryan Singer,149,Jennifer Lawrence,Peter Dinklage,233914986,X-Men: Days of Future Past,514125,Hugh Jackman,http://www.imdb.com/title/tt1877832/,tt1877832,752,English,USA,PG-13,200000000,2014,8,https://images-na.ssl-images-amazon.com/images/M/MV5BZGIzNWYzN2YtMjcwYS00YjQ3LWI2NjMtOTNiYTUyYjE2MGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,0,1
49,J.J. Abrams,132,Benedict Cumberbatch,Bruce Greenwood,228756232,Star Trek Into Darkness,395573,Noel Clarke,http://www.imdb.com/title/tt1408101/,tt1408101,1171,English,USA,PG-13,190000000,2013,7.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_SX300.jpg,0,0,1
50,Bryan Singer,114,Eddie Marsan,Ewen Bremner,65171860,Jack the Giant Slayer,106416,Ralph Brown,http://www.imdb.com/title/tt1351685/,tt1351685,205,English,USA,PG-13,195000000,2013,6.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NDMxMjI0OV5BMl5BanBnXkFtZTcwMjQyMDExOQ@@._V1_SX300.jpg,0,0,1
51,Baz Luhrmann,143,Leonardo DiCaprio,Elizabeth Debicki,144812796,The Great Gatsby,362912,Steve Bisley,http://www.imdb.com/title/tt1343092/,tt1343092,753,English,Australia,PG-13,105000000,2013,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_SX300.jpg,0,0,1
52,Mike Newell,116,Jake Gyllenhaal,Richard Coyle,90755643,Prince of Persia: The Sands of Time,222403,Reece Ritchie,http://www.imdb.com/title/tt0473075/,tt0473075,453,English,USA,PG-13,200000000,2010,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwNDg0NzcyMV5BMl5BanBnXkFtZTcwNjg4MjQyMw@@._V1_SX300.jpg,0,1,1
53,Guillermo del Toro,131,Charlie Hunnam,Clifton Collins Jr.,101785482,Pacific Rim,381148,Larry Joe Campbell,http://www.imdb.com/title/tt1663662/,tt1663662,1106,English,USA,PG-13,190000000,2013,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_SX300.jpg,0,1,1
54,Michael Bay,154,Glenn Morshower,Lester Speight,352358779,Transformers: Dark of the Moon,326180,Kevin Dunn,http://www.imdb.com/title/tt1399103/,tt1399103,899,English,USA,PG-13,195000000,2011,6.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_SX300.jpg,0,1,1
55,Steven Spielberg,122,Harrison Ford,Ray Winstone,317011114,Indiana Jones and the Kingdom of the Crystal Skull,333847,Jim Broadbent,http://www.imdb.com/title/tt0367882/,tt0367882,2054,English,USA,PG-13,185000000,2008,6.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxNDUxNzcyMl5BMl5BanBnXkFtZTcwNTgwOTI3MQ@@._V1_SX300.jpg,0,1,1
57,Mark Andrews,93,Kelly Macdonald,John Ratzenberger,237282182,Brave,273556,Julie Walters,http://www.imdb.com/title/tt1217209/,tt1217209,428,English,USA,PG,185000000,2012,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg,0,1,1
58,Justin Lin,122,Sofia Boutella,Melissa Roxburgh,130468626,Star Trek Beyond,53607,Lydia Wilson,http://www.imdb.com/title/tt2660888/,tt2660888,432,English,USA,PG-13,185000000,2016,7.5,https://images-na.ssl-images-amazon.com/images/M/MV5BZDRiOGE5ZTctOWIxOS00MWQwLThlMDYtNWIwMDQwNzBjZDY1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,0,1,0
59,Andrew Stanton,98,John Ratzenberger,Fred Willard,223806889,WALL·E,718837,Jeff Garlin,http://www.imdb.com/title/tt0910970/,tt0910970,1043,English,USA,G,180000000,2008,8.4,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg,0,1,0
60,Brett Ratner,91,Tzi Ma,Dana Ivey,140080850,Rush Hour 3,121084,Noémie Lenoir,http://www.imdb.com/title/tt0293564/,tt0293564,221,English,USA,PG-13,140000000,2007,6.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0Nzg5NjQ0MDBeQTJeQWpwZ15BbWU3MDE4Mzg5NDE@._V1_SX300.jpg,0,1,0
61,Roland Emmerich,158,Oliver Platt,Liam James,166112167,2012,283418,Tom McCarthy,http://www.imdb.com/title/tt1190080/,tt1190080,1055,English,USA,PG-13,200000000,2009,5.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg,0,1,1
62,Robert Zemeckis,96,Robin Wright,Colin Firth,137850096,A Christmas Carol,72809,Gary Oldman,http://www.imdb.com/title/tt1067106/,tt1067106,249,English,USA,PG,200000000,2009,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MTI5ODU4MV5BMl5BanBnXkFtZTcwNTYyNTU4Mg@@._V1_SX300.jpg,0,1,1
63,Lana Wachowski,127,Channing Tatum,Mila Kunis,47375327,Jupiter Ascending,139593,Eddie Redmayne,http://www.imdb.com/title/tt1617661/,tt1617661,720,English,USA,PG-13,176000000,2015,5.4,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNzk2MjA2NF5BMl5BanBnXkFtZTgwMjEwNzk3MjE@._V1_SX300.jpg,0,1,1
64,David Yates,110,Christoph Waltz,Alexander Skarsgård,124051759,The Legend of Tarzan,42372,Casper Crump,http://www.imdb.com/title/tt0918940/,tt0918940,239,English,USA,PG-13,180000000,2016,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY3OTI0OTcyMF5BMl5BanBnXkFtZTgwNjkxNTAwOTE@._V1_SX300.jpg,0,1,1
65,Andrew Adamson,150,Jim Broadbent,Kiran Shah,291709845,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,286506,Shane Rangi,http://www.imdb.com/title/tt0363771/,tt0363771,1463,English,USA,PG,180000000,2005,6.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_SX300.jpg,0,1,1
73,Rob Cohen,112,Jet Li,Brendan Fraser,102176165,The Mummy: Tomb of the Dragon Emperor,117927,Russell Wong,http://www.imdb.com/title/tt0859163/,tt0859163,501,English,USA,PG-13,145000000,2008,5.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NDIzMDY1OV5BMl5BanBnXkFtZTcwNjQxMzk3MQ@@._V1_SX300.jpg,0,0,0
74,David Ayer,123,Will Smith,Robin Atkin Downes,161087183,Suicide Squad,118992,Ike Barinholtz,http://www.imdb.com/title/tt1386697/,tt1386697,971,English,USA,PG-13,175000000,2016,6.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM1OTMxNzUyM15BMl5BanBnXkFtZTgwNjYzMTIzOTE@._V1_SX300.jpg,0,0,0
75,Tom Shadyac,96,Jimmy Bennett,Morgan Freeman,100289690,Evan Almighty,115099,Steve Carell,http://www.imdb.com/title/tt0413099/,tt0413099,257,English,USA,PG,175000000,2007,5.4,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMTEzODYxMV5BMl5BanBnXkFtZTcwNzQ4ODU0MQ@@._V1_SX300.jpg,0,0,0
76,Doug Liman,113,Tom Cruise,Lara Pulver,100189501,Edge of Tomorrow,431620,Noah Taylor,http://www.imdb.com/title/tt1631867/,tt1631867,741,English,USA,PG-13,178000000,2014,7.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5OTk4MTM3M15BMl5BanBnXkFtZTgwODcxNjg3MDE@._V1_SX300.jpg,0,0,0
77,Kevin Reynolds,176,Jeanne Tripplehorn,Rick Aviles,88246220,Waterworld,144337,Zakes Mokae,http://www.imdb.com/title/tt0114898/,tt0114898,309,English,USA,PG-13,175000000,1995,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BYzE4NTRmMDYtNWYzYi00YmNkLTk4NDEtYjFmMDc4ODQ3ODY2XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,0,0,0
78,Stephen Sommers,118,Joseph Gordon-Levitt,Dennis Quaid,150167630,G.I. Joe: The Rise of Cobra,174578,Leo Howard,http://www.imdb.com/title/tt1046173/,tt1046173,534,English,USA,PG-13,175000000,2009,5.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMTU1NzQwNl5BMl5BanBnXkFtZTcwNDg4NzMzMw@@._V1_SX300.jpg,0,0,0
79,Pete Docter,95,Amy Poehler,Mindy Kaling,356454367,Inside Out,345198,Phyllis Smith,http://www.imdb.com/title/tt2096673/,tt2096673,773,English,USA,PG,175000000,2015,8.3,https://images-na.ssl-images-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,0,0,0
80,Jon Favreau,106,Scarlett Johansson,Bill Murray,362645141,The Jungle Book,106072,Garry Shandling,http://www.imdb.com/title/tt3040964/,tt3040964,398,English,UK,PG,175000000,2016,7.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_SX300.jpg,0,0,0
81,Jon Favreau,124,Robert Downey Jr.,Scarlett Johansson,312057433,Iron Man 2,522371,Jon Favreau,http://www.imdb.com/title/tt1228705/,tt1228705,723,English,USA,PG-13,200000000,2010,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_SX300.jpg,0,0,0
82,Rupert Sanders,132,Chris Hemsworth,Kristen Stewart,155111815,Snow White and the Huntsman,228554,Sam Claflin,http://www.imdb.com/title/tt1735898/,tt1735898,710,English,USA,PG-13,170000000,2012,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDA0MTk5OV5BMl5BanBnXkFtZTcwMTM4NDMwNw@@._V1_SX300.jpg,0,0,0
83,Robert Stromberg,97,Angelina Jolie Pitt,Sharlto Copley,241407328,Maleficent,252257,Sam Riley,http://www.imdb.com/title/tt1587310/,tt1587310,634,English,USA,PG,180000000,2014,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwMzAzMzExOF5BMl5BanBnXkFtZTgwOTcwMDA5MTE@._V1_SX300.jpg,0,0,1
84,Matt Reeves,130,Gary Oldman,Judy Greer,208543795,Dawn of the Planet of the Apes,317542,Kodi Smit-McPhee,http://www.imdb.com/title/tt2103281/,tt2103281,620,English,USA,PG-13,170000000,2014,7.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwODk3NDc1N15BMl5BanBnXkFtZTgwNTc1NjQwMjE@._V1_SX300.jpg,0,0,1
86,Carl Rinsch,128,Keanu Reeves,Cary-Hiroyuki Tagawa,38297305,47 Ronin,116994,Jin Akanishi,http://www.imdb.com/title/tt1335975/,tt1335975,324,English,USA,PG-13,175000000,2013,6.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_SX300.jpg,0,0,1
87,Anthony Russo,136,Scarlett Johansson,Chris Evans,259746958,Captain America: The Winter Soldier,496749,Hayley Atwell,http://www.imdb.com/title/tt1843866/,tt1843866,742,English,USA,PG-13,170000000,2014,7.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMzA2NDkwODAwM15BMl5BanBnXkFtZTgwODk5MTgzMTE@._V1_SX300.jpg,0,0,1
