id,director_name,duration,actor_1_name,actor_2_name,gross,movie_title,num_voted_users,actor_3_name,movie_imdb_link,imdb_id,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,poster,isNominated,totalNominations,BestDirector,BestActor,Action,Adventure,Fantasy,Sci-Fi,Thriller
12,Bryan Singer,169,Kevin Spacey,Marlon Brando,200069408,Superman Returns,240396,Frank Langella,http://www.imdb.com/title/tt0348150/,tt0348150,2367,English,USA,PG-13,209000000,2006,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzA5MjI0Nl5BMl5BanBnXkFtZTcwMTEwNzMzMQ@@._V1_SX300.jpg,0,1,0,0,1,1,0,1,0
13,Marc Forster,106,Giancarlo Giannini,Mathieu Amalric,168368427,Quantum of Solace,330784,Rory Kinnear,http://www.imdb.com/title/tt0830515/,tt0830515,1243,English,UK,PG-13,200000000,2008,6.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MjI4MDI5MF5BMl5BanBnXkFtZTcwODkwNjk3MQ@@._V1_SX300.jpg,0,0,0,0,1,1,0,0,0
14,Gore Verbinski,151,Johnny Depp,Orlando Bloom,423032628,Pirates of the Caribbean: Dead Man's Chest,522040,Jack Davenport,http://www.imdb.com/title/tt0383574/,tt0383574,1832,English,USA,PG-13,225000000,2006,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_SX300.jpg,0,4,0,0,1,1,1,0,0
15,Gore Verbinski,150,Johnny Depp,Ruth Wilson,89289910,The Lone Ranger,181792,Tom Wilkinson,http://www.imdb.com/title/tt1210819/,tt1210819,711,English,USA,PG-13,215000000,2013,6.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3Mjk5MTUxOV5BMl5BanBnXkFtZTcwNTMyNzY3OQ@@._V1_SX300.jpg,0,2,0,0,1,1,0,0,0
16,Zack Snyder,143,Henry Cavill,Christopher Meloni,291021565,Man of Steel,548573,Harry Lennix,http://www.imdb.com/title/tt0770828/,tt0770828,2536,English,USA,PG-13,225000000,2013,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg,0,0,0,0,1,1,1,1,0
17,Andrew Adamson,150,Peter Dinklage,Pierfrancesco Favino,141614023,The Chronicles of Narnia: Prince Caspian,149922,Damián Alcázar,http://www.imdb.com/title/tt0499448/,tt0499448,438,English,USA,PG,225000000,2008,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwOTA4NTE4Ml5BMl5BanBnXkFtZTcwOTI2NTg1MQ@@._V1_SX300.jpg,0,0,0,0,1,1,1,0,0
18,Joss Whedon,173,Chris Hemsworth,Robert Downey Jr.,623279547,The Avengers,995415,Scarlett Johansson,http://www.imdb.com/title/tt0848228/,tt0848228,1722,English,USA,PG-13,220000000,2012,8.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,0,0,0,0,1,1,0,1,0
19,Rob Marshall,136,Johnny Depp,Sam Claflin,241063875,Pirates of the Caribbean: On Stranger Tides,370704,Stephen Graham,http://www.imdb.com/title/tt1298650/,tt1298650,484,English,USA,PG-13,250000000,2011,6.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_SX300.jpg,0,0,0,0,1,1,1,0,0
20,Barry Sonnenfeld,106,Will Smith,Michael Stuhlbarg,179020854,Men in Black 3,268154,Nicole Scherzinger,http://www.imdb.com/title/tt1409024/,tt1409024,341,English,USA,PG-13,225000000,2012,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_SX300.jpg,0,0,0,0,1,1,1,1,0
21,Peter Jackson,164,Aidan Turner,Adam Brown,255108370,The Hobbit: The Battle of the Five Armies,354228,James Nesbitt,http://www.imdb.com/title/tt2310332/,tt2310332,802,English,New Zealand,PG-13,250000000,2014,7.5,https://images-na.ssl-images-amazon.com/images/M/MV5BODAzMDgxMDc1MF5BMl5BanBnXkFtZTgwMTI0OTAzMjE@._V1_SX300.jpg,0,1,0,0,0,1,1,0,0
22,Marc Webb,153,Emma Stone,Andrew Garfield,262030663,The Amazing Spider-Man,451803,Chris Zylka,http://www.imdb.com/title/tt0948470/,tt0948470,1225,English,USA,PG-13,230000000,2012,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,0,0,0,0,1,1,1,0,0
23,Ridley Scott,156,Mark Addy,William Hurt,105219735,Robin Hood,211765,Scott Grimes,http://www.imdb.com/title/tt0955308/,tt0955308,546,English,USA,PG-13,200000000,2010,6.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,0,0,0,0,1,1,0,0,0
24,Peter Jackson,186,Aidan Turner,Adam Brown,258355354,The Hobbit: The Desolation of Smaug,483540,James Nesbitt,http://www.imdb.com/title/tt1170358/,tt1170358,951,English,USA,PG-13,225000000,2013,7.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_SX300.jpg,0,3,0,0,0,1,1,0,0
25,Chris Weitz,113,Christopher Lee,Eva Green,70083519,The Golden Compass,149019,Kristin Scott Thomas,http://www.imdb.com/title/tt0385752/,tt0385752,666,English,USA,PG-13,180000000,2007,6.1,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2NDkxMjQxMV5BMl5BanBnXkFtZTYwNTMxMDM4._V1_SX300.jpg,0,2,0,0,0,1,1,0,0
26,Peter Jackson,201,Naomi Watts,Thomas Kretschmann,218051260,King Kong,316018,Evan Parke,http://www.imdb.com/title/tt0360717/,tt0360717,2618,English,New Zealand,PG-13,207000000,2005,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,7,0,0,1,1,0,0,0
27,James Cameron,194,Leonardo DiCaprio,Kate Winslet,658672302,Titanic,793059,Gloria Stuart,http://www.imdb.com/title/tt0120338/,tt0120338,2528,English,USA,PG-13,200000000,1997,7.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,1,15,1,1,0,0,0,0,0
28,Anthony Russo,147,Robert Downey Jr.,Scarlett Johansson,407197282,Captain America: Civil War,272670,Chris Evans,http://www.imdb.com/title/tt3498820/,tt3498820,1022,English,USA,PG-13,250000000,2016,8.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,0,0,0,0,1,1,0,1,0
29,Peter Berg,131,Liam Neeson,Alexander Skarsgård,65173160,Battleship,202382,Tadanobu Asano,http://www.imdb.com/title/tt1440129/,tt1440129,751,English,USA,PG-13,209000000,2012,5.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NTM5MDA2N15BMl5BanBnXkFtZTcwNjkwMzQxNw@@._V1_SX300.jpg,0,0,0,0,1,1,0,1,1
30,Colin Trevorrow,124,Bryce Dallas Howard,Judy Greer,652177271,Jurassic World,418214,Omar Sy,http://www.imdb.com/title/tt0369610/,tt0369610,1290,English,USA,PG-13,150000000,2015,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MTE0MTk3Nl5BMl5BanBnXkFtZTgwMjczMzk2NTE@._V1_SX300.jpg,0,0,0,0,1,1,0,1,1
31,Sam Mendes,143,Albert Finney,Helen McCrory,304360277,Skyfall,522030,Rory Kinnear,http://www.imdb.com/title/tt1074638/,tt1074638,1498,English,UK,PG-13,200000000,2012,7.8,https://images-na.ssl-images-amazon.com/images/M/MV5BNDVhZmJiYWMtNmIzMC00ZWNiLTkzZDYtNGNlZmViMGM4OGExXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,0,4,0,0,1,1,0,0,1
32,Sam Raimi,135,J.K. Simmons,James Franco,373377893,Spider-Man 2,411164,Kirsten Dunst,http://www.imdb.com/title/tt0316654/,tt0316654,1303,English,USA,PG-13,200000000,2004,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY2ODk4NmUtOTVmNi00ZTdkLTlmOWYtMmE2OWVhNTU2OTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,3,0,0,1,1,1,0,0
33,Shane Black,195,Robert Downey Jr.,Jon Favreau,408992272,Iron Man 3,557489,Don Cheadle,http://www.imdb.com/title/tt1300854/,tt1300854,1187,English,USA,PG-13,200000000,2013,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMjEzMjY1M15BMl5BanBnXkFtZTcwNTMxOTYyOQ@@._V1_SX300.jpg,0,1,0,0,1,1,0,1,0
34,Tim Burton,108,Johnny Depp,Alan Rickman,334185206,Alice in Wonderland,306320,Anne Hathaway,http://www.imdb.com/title/tt1014759/,tt1014759,736,English,USA,PG,200000000,2010,6.5,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_SX300.jpg,0,4,0,0,0,1,1,0,0
35,Brett Ratner,104,Hugh Jackman,Kelsey Grammer,234360014,X-Men: The Last Stand,383427,Daniel Cudmore,http://www.imdb.com/title/tt0376994/,tt0376994,1912,English,Canada,PG-13,210000000,2006,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1NTg2ODA2Nl5BMl5BanBnXkFtZTcwMDc2MjEzMw@@._V1_SX300.jpg,0,0,0,0,1,1,1,1,1
36,Dan Scanlon,104,Steve Buscemi,Tyler Labine,268488329,Monsters University,235025,Sean Hayes,http://www.imdb.com/title/tt1453405/,tt1453405,265,English,USA,G,200000000,2013,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
37,Michael Bay,150,Glenn Morshower,Kevin Dunn,402076689,Transformers: Revenge of the Fallen,323207,Ramon Rodriguez,http://www.imdb.com/title/tt1055369/,tt1055369,1439,English,USA,PG-13,200000000,2009,6,https://images-na.ssl-images-amazon.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg,0,1,0,0,1,1,0,1,0
38,Michael Bay,165,Bingbing Li,Sophia Myles,245428137,Transformers: Age of Extinction,242420,Kelsey Grammer,http://www.imdb.com/title/tt2109248/,tt2109248,918,English,USA,PG-13,210000000,2014,5.7,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwNTg1MTA5Nl5BMl5BanBnXkFtZTgwOTg2OTM4MTE@._V1_SX300.jpg,0,0,0,0,1,1,0,1,0
39,Sam Raimi,130,Tim Holmes,Mila Kunis,234903076,Oz the Great and Powerful,175409,James Franco,http://www.imdb.com/title/tt1623205/,tt1623205,511,English,USA,PG,215000000,2013,6.4,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyMzQ1ODM1MF5BMl5BanBnXkFtZTcwMjE2MTQxOQ@@._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
40,Marc Webb,142,Emma Stone,Andrew Garfield,202853933,The Amazing Spider-Man 2,321227,B.J. Novak,http://www.imdb.com/title/tt1872181/,tt1872181,1067,English,USA,PG-13,200000000,2014,6.7,https://images-na.ssl-images-amazon.com/images/M/MV5BOTA5NDYxNTg0OV5BMl5BanBnXkFtZTgwODE5NzU1MTE@._V1_SX300.jpg,0,0,0,0,1,1,1,1,0
41,Joseph Kosinski,125,Jeff Bridges,Olivia Wilde,172051787,TRON: Legacy,264183,James Frain,http://www.imdb.com/title/tt1104001/,tt1104001,665,English,USA,PG,170000000,2010,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4NTk4MTk1OF5BMl5BanBnXkFtZTcwNTE2MDIwNA@@._V1_SX300.jpg,0,1,0,0,1,1,0,1,0
42,John Lasseter,106,Joe Mantegna,Thomas Kretschmann,191450875,Cars 2,101178,Eddie Izzard,http://www.imdb.com/title/tt1216475/,tt1216475,283,English,USA,G,200000000,2011,6.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_SX300.jpg,0,0,0,0,0,1,0,0,0
43,Martin Campbell,123,Ryan Reynolds,Temuera Morrison,116593191,Green Lantern,223393,Taika Waititi,http://www.imdb.com/title/tt1133985/,tt1133985,550,English,USA,PG-13,200000000,2011,5.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyMTg3OTM5Ml5BMl5BanBnXkFtZTcwNzczMjEyNQ@@._V1_SX300.jpg,0,0,0,0,1,1,0,1,0
44,Lee Unkrich,103,Tom Hanks,John Ratzenberger,414984497,Toy Story 3,544884,Don Rickles,http://www.imdb.com/title/tt0435761/,tt0435761,733,English,USA,G,200000000,2010,8.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,1,4,0,0,0,1,1,0,0
45,McG,118,Christian Bale,Bryce Dallas Howard,125320003,Terminator Salvation,286095,Common,http://www.imdb.com/title/tt0438488/,tt0438488,974,English,USA,PG-13,200000000,2009,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BODE1MTM1MzA2NF5BMl5BanBnXkFtZTcwODQ5MTA2Mg@@._V1_SX300.jpg,0,0,0,0,1,1,0,1,0
46,James Wan,140,Jason Statham,Paul Walker,350034110,Furious 7,278232,Vin Diesel,http://www.imdb.com/title/tt2820852/,tt2820852,657,English,USA,PG-13,190000000,2015,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1_SX300.jpg,0,0,0,0,1,0,0,0,1
47,Marc Forster,123,Peter Capaldi,Brad Pitt,202351611,World War Z,465019,Mireille Enos,http://www.imdb.com/title/tt0816711/,tt0816711,995,English,USA,PG-13,190000000,2013,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NTgxMjIxOF5BMl5BanBnXkFtZTcwMDM0MDY1OQ@@._V1_SX300.jpg,0,0,0,0,1,1,0,1,1
48,Bryan Singer,149,Jennifer Lawrence,Peter Dinklage,233914986,X-Men: Days of Future Past,514125,Hugh Jackman,http://www.imdb.com/title/tt1877832/,tt1877832,752,English,USA,PG-13,200000000,2014,8,https://images-na.ssl-images-amazon.com/images/M/MV5BZGIzNWYzN2YtMjcwYS00YjQ3LWI2NjMtOTNiYTUyYjE2MGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0,1,0,0,1,1,1,1,1
49,J.J. Abrams,132,Benedict Cumberbatch,Bruce Greenwood,228756232,Star Trek Into Darkness,395573,Noel Clarke,http://www.imdb.com/title/tt1408101/,tt1408101,1171,English,USA,PG-13,190000000,2013,7.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_SX300.jpg,0,1,0,0,1,1,0,1,0
50,Bryan Singer,114,Eddie Marsan,Ewen Bremner,65171860,Jack the Giant Slayer,106416,Ralph Brown,http://www.imdb.com/title/tt1351685/,tt1351685,205,English,USA,PG-13,195000000,2013,6.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NDMxMjI0OV5BMl5BanBnXkFtZTcwMjQyMDExOQ@@._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
51,Baz Luhrmann,143,Leonardo DiCaprio,Elizabeth Debicki,144812796,The Great Gatsby,362912,Steve Bisley,http://www.imdb.com/title/tt1343092/,tt1343092,753,English,Australia,PG-13,105000000,2013,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_SX300.jpg,0,4,0,0,0,0,0,0,0
52,Mike Newell,116,Jake Gyllenhaal,Richard Coyle,90755643,Prince of Persia: The Sands of Time,222403,Reece Ritchie,http://www.imdb.com/title/tt0473075/,tt0473075,453,English,USA,PG-13,200000000,2010,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwNDg0NzcyMV5BMl5BanBnXkFtZTcwNjg4MjQyMw@@._V1_SX300.jpg,0,0,0,0,1,1,1,0,0
53,Guillermo del Toro,131,Charlie Hunnam,Clifton Collins Jr.,101785482,Pacific Rim,381148,Larry Joe Campbell,http://www.imdb.com/title/tt1663662/,tt1663662,1106,English,USA,PG-13,190000000,2013,7,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_SX300.jpg,0,0,0,0,1,1,0,1,0
54,Michael Bay,154,Glenn Morshower,Lester Speight,352358779,Transformers: Dark of the Moon,326180,Kevin Dunn,http://www.imdb.com/title/tt1399103/,tt1399103,899,English,USA,PG-13,195000000,2011,6.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_SX300.jpg,0,3,0,0,1,1,0,1,0
55,Steven Spielberg,122,Harrison Ford,Ray Winstone,317011114,Indiana Jones and the Kingdom of the Crystal Skull,333847,Jim Broadbent,http://www.imdb.com/title/tt0367882/,tt0367882,2054,English,USA,PG-13,185000000,2008,6.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxNDUxNzcyMl5BMl5BanBnXkFtZTcwNTgwOTI3MQ@@._V1_SX300.jpg,0,0,0,0,1,1,1,0,0
57,Mark Andrews,93,Kelly Macdonald,John Ratzenberger,237282182,Brave,273556,Julie Walters,http://www.imdb.com/title/tt1217209/,tt1217209,428,English,USA,PG,185000000,2012,7.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg,1,1,0,0,0,1,1,0,0
58,Justin Lin,122,Sofia Boutella,Melissa Roxburgh,130468626,Star Trek Beyond,53607,Lydia Wilson,http://www.imdb.com/title/tt2660888/,tt2660888,432,English,USA,PG-13,185000000,2016,7.5,https://images-na.ssl-images-amazon.com/images/M/MV5BZDRiOGE5ZTctOWIxOS00MWQwLThlMDYtNWIwMDQwNzBjZDY1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,0,0,0,0,1,1,0,1,1
59,Andrew Stanton,98,John Ratzenberger,Fred Willard,223806889,WALL·E,718837,Jeff Garlin,http://www.imdb.com/title/tt0910970/,tt0910970,1043,English,USA,G,180000000,2008,8.4,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg,0,0,0,0,0,1,0,1,0
60,Brett Ratner,91,Tzi Ma,Dana Ivey,140080850,Rush Hour 3,121084,Noémie Lenoir,http://www.imdb.com/title/tt0293564/,tt0293564,221,English,USA,PG-13,140000000,2007,6.2,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0Nzg5NjQ0MDBeQTJeQWpwZ15BbWU3MDE4Mzg5NDE@._V1_SX300.jpg,0,0,0,0,1,0,0,0,1
61,Roland Emmerich,158,Oliver Platt,Liam James,166112167,2012,283418,Tom McCarthy,http://www.imdb.com/title/tt1190080/,tt1190080,1055,English,USA,PG-13,200000000,2009,5.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg,0,0,0,0,1,1,0,1,0
62,Robert Zemeckis,96,Robin Wright,Colin Firth,137850096,A Christmas Carol,72809,Gary Oldman,http://www.imdb.com/title/tt1067106/,tt1067106,249,English,USA,PG,200000000,2009,6.8,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1MTI5ODU4MV5BMl5BanBnXkFtZTcwNTYyNTU4Mg@@._V1_SX300.jpg,0,1,0,0,0,0,1,0,0
63,Lana Wachowski,127,Channing Tatum,Mila Kunis,47375327,Jupiter Ascending,139593,Eddie Redmayne,http://www.imdb.com/title/tt1617661/,tt1617661,720,English,USA,PG-13,176000000,2015,5.4,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNzk2MjA2NF5BMl5BanBnXkFtZTgwMjEwNzk3MjE@._V1_SX300.jpg,0,0,0,0,1,1,0,1,0
64,David Yates,110,Christoph Waltz,Alexander Skarsgård,124051759,The Legend of Tarzan,42372,Casper Crump,http://www.imdb.com/title/tt0918940/,tt0918940,239,English,USA,PG-13,180000000,2016,6.6,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY3OTI0OTcyMF5BMl5BanBnXkFtZTgwNjkxNTAwOTE@._V1_SX300.jpg,0,0,0,0,1,1,0,0,0
65,Andrew Adamson,150,Jim Broadbent,Kiran Shah,291709845,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,286506,Shane Rangi,http://www.imdb.com/title/tt0363771/,tt0363771,1463,English,USA,PG,180000000,2005,6.9,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_SX300.jpg,0,0,0,0,0,1,1,0,0
66,Bryan Singer,144,Jennifer Lawrence,Michael Fassbender,154985087,X-Men: Apocalypse,148379,Tye Sheridan,http://www.imdb.com/title/tt3385516/,tt3385516,622,English,USA,PG-13,178000000,2016,7.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMjU1ODM1MzYxN15BMl5BanBnXkFtZTgwOTA4NDE2ODE@._V1_SX300.jpg,0,0,0,0,1,1,0,1,0
67,Christopher Nolan,152,Christian Bale,Heath Ledger,533316061,The Dark Knight,1676169,Morgan Freeman,http://www.imdb.com/title/tt0468569/,tt0468569,4667,English,USA,PG-13,185000000,2008,9,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,0,8,0,0,1,0,0,0,1
68,Pete Docter,96,John Ratzenberger,Delroy Lindo,292979556,Up,665575,Jess Harnell,http://www.imdb.com/title/tt1049413/,tt1049413,704,English,USA,PG,175000000,2009,8.3,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,1,6,0,0,0,1,0,0,0
